,Movie Title,Year,Content Rating,Budget,Gross_Income,Director,IMDB Score
160,Star Trek ,2009,PG-13,"$150,000,000.00","$257,704,099.00",J.J. Abrams,8.0
161,Spider-Man ,2002,PG-13,"$139,000,000.00","$403,706,375.00",Sam Raimi,7.3
162,How to Train Your Dragon 2 ,2014,PG,"$145,000,000.00","$176,997,107.00",Dean DeBlois,7.9
163,Gods of Egypt ,2016,PG-13,"$140,000,000.00","$31,141,074.00",Alex Proyas,5.5
164,Stealth ,2005,PG-13,"$135,000,000.00","$31,704,416.00",Rob Cohen,5.0
165,Watchmen ,2009,R,"$130,000,000.00","$107,503,316.00",Zack Snyder,7.7
166,Lethal Weapon 4 ,1998,R,"$140,000,000.00","$129,734,803.00",Richard Donner,6.6
167,Hulk ,2003,PG-13,"$137,000,000.00","$132,122,995.00",Ang Lee,5.7
168,G.I. Joe: Retaliation ,2013,PG-13,"$130,000,000.00","$122,512,052.00",Jon M. Chu,5.8
170,Final Fantasy: The Spirits Within ,2001,PG-13,"$137,000,000.00","$32,131,830.00",Hironobu Sakaguchi,6.4
171,Captain America: The First Avenger ,2011,PG-13,"$140,000,000.00","$176,636,816.00",Joe Johnston,6.9
173,Master and Commander: The Far Side of the World ,2003,PG-13,"$150,000,000.00","$93,926,386.00",Peter Weir,7.4
174,The Twilight Saga: Breaking Dawn - Part 2 ,2012,PG-13,"$120,000,000.00","$292,298,923.00",Bill Condon,5.5
176,The Incredible Hulk ,2008,PG-13,"$150,000,000.00","$134,518,390.00",Louis Leterrier,6.8
179,The Revenant ,2015,R,"$135,000,000.00","$183,635,922.00",Alejandro G. Iñárritu,8.1
180,Turbo ,2013,PG,"$135,000,000.00","$83,024,900.00",David Soren,6.5
181,Rango ,2011,PG,"$135,000,000.00","$123,207,194.00",Gore Verbinski,7.2
182,Penguins of Madagascar ,2014,PG,"$132,000,000.00","$83,348,920.00",Eric Darnell,6.7
183,The Bourne Ultimatum ,2007,PG-13,"$110,000,000.00","$227,137,090.00",Paul Greengrass,8.1
184,Kung Fu Panda ,2008,PG,"$130,000,000.00","$215,395,021.00",Mark Osborne,7.6
185,Ant-Man ,2015,PG-13,"$130,000,000.00","$180,191,634.00",Peyton Reed,7.4
186,The Hunger Games: Catching Fire ,2013,PG-13,"$130,000,000.00","$424,645,577.00",Francis Lawrence,7.6
187,The Twilight Saga: Breaking Dawn - Part 2 ,2012,PG-13,"$120,000,000.00","$292,298,923.00",Bill Condon,5.5
188,Home ,2015,PG,"$135,000,000.00","$177,343,675.00",Tim Johnson,6.7
189,War of the Worlds ,2005,PG-13,"$132,000,000.00","$234,277,056.00",Steven Spielberg,6.5
190,Bad Boys II ,2003,R,"$130,000,000.00","$138,396,624.00",Michael Bay,6.6
191,Puss in Boots ,2011,PG,"$130,000,000.00","$149,234,747.00",Chris Miller,6.7
192,Salt ,2010,PG-13,"$110,000,000.00","$118,311,368.00",Phillip Noyce,6.4
193,Noah ,2014,PG-13,"$125,000,000.00","$101,160,529.00",Darren Aronofsky,5.8
194,The Adventures of Tintin ,2011,PG,"$135,000,000.00","$77,564,037.00",Steven Spielberg,7.4
197,After Earth ,2013,PG-13,"$130,000,000.00","$60,522,097.00",M. Night Shyamalan,4.9
198,Dinosaur ,2000,PG,"$127,500,000.00","$137,748,063.00",Eric Leighton,6.5
200,Night at the Museum: Secret of the Tomb ,2014,PG,"$127,000,000.00","$113,733,726.00",Shawn Levy,6.2
201,Megamind ,2010,PG,"$130,000,000.00","$148,337,537.00",Tom McGrath,7.3
203,R.I.P.D. ,2013,PG-13,"$130,000,000.00","$33,592,415.00",Robert Schwentke,5.6
205,Pirates of the Caribbean: The Curse of the Black Pearl ,2003,PG-13,"$140,000,000.00","$305,388,685.00",Gore Verbinski,8.1
207,The Hunger Games: Mockingjay - Part 1 ,2014,PG-13,"$125,000,000.00","$337,103,873.00",Francis Lawrence,6.7
208,The Da Vinci Code ,2006,PG-13,"$125,000,000.00","$217,536,138.00",Ron Howard,6.6
209,Rio 2 ,2014,G,"$103,000,000.00","$131,536,019.00",Carlos Saldanha,6.4
211,Fast Five ,2011,PG-13,"$125,000,000.00","$209,805,005.00",Justin Lin,7.3
212,Sherlock Holmes: A Game of Shadows ,2011,PG-13,"$125,000,000.00","$186,830,669.00",Guy Ritchie,7.5
213,Clash of the Titans ,2010,PG-13,"$125,000,000.00","$163,192,114.00",Louis Leterrier,5.8
214,Total Recall ,1990,R,"$65,000,000.00","$119,412,921.00",Paul Verhoeven,7.5
215,The 13th Warrior ,1999,R,"$85,000,000.00","$32,694,788.00",John McTiernan,6.6
216,The Bourne Legacy ,2012,PG-13,"$125,000,000.00","$113,165,635.00",Tony Gilroy,6.7
217,Batman & Robin ,1997,PG-13,"$125,000,000.00","$107,285,004.00",Joel Schumacher,3.7
218,How the Grinch Stole Christmas ,2000,PG,"$123,000,000.00","$260,031,035.00",Ron Howard,6.0
219,The Day After Tomorrow ,2004,PG-13,"$125,000,000.00","$186,739,919.00",Roland Emmerich,6.4
220,Mission: Impossible II ,2000,PG-13,"$125,000,000.00","$215,397,307.00",John Woo,6.1
221,The Perfect Storm ,2000,PG-13,"$140,000,000.00","$182,618,434.00",Wolfgang Petersen,6.4
222,Fantastic 4: Rise of the Silver Surfer ,2007,PG,"$130,000,000.00","$131,920,333.00",Tim Story,5.6
223,Life of Pi ,2012,PG,"$120,000,000.00","$124,976,634.00",Ang Lee,8.0
224,Ghost Rider ,2007,PG-13,"$110,000,000.00","$115,802,596.00",Mark Steven Johnson,5.2
226,Charlie's Angels: Full Throttle ,2003,PG-13,"$120,000,000.00","$100,685,880.00",McG,4.8
227,Prometheus ,2012,R,"$130,000,000.00","$126,464,904.00",Ridley Scott,7.0
228,Stuart Little 2 ,2002,PG,"$120,000,000.00","$64,736,114.00",Rob Minkoff,5.4
229,Elysium ,2013,R,"$115,000,000.00","$93,050,117.00",Neill Blomkamp,6.6
230,The Chronicles of Riddick ,2004,PG-13,"$105,000,000.00","$57,637,485.00",David Twohy,6.7
231,RoboCop ,2014,PG-13,"$100,000,000.00","$58,607,007.00",José Padilha,6.2
232,Speed Racer ,2008,PG,"$120,000,000.00","$43,929,341.00",Lana Wachowski,6.1
233,How Do You Know ,2010,PG-13,"$120,000,000.00","$30,212,620.00",James L. Brooks,5.3
234,Knight and Day ,2010,PG-13,"$117,000,000.00","$76,418,654.00",James Mangold,6.3
235,Oblivion ,2013,PG-13,"$120,000,000.00","$89,021,735.00",Joseph Kosinski,7.0
236,Star Wars: Episode III - Revenge of the Sith ,2005,PG-13,"$113,000,000.00","$380,262,555.00",George Lucas,7.6
237,Star Wars: Episode II - Attack of the Clones ,2002,PG,"$115,000,000.00","$310,675,583.00",George Lucas,6.7
238,"Monsters, Inc. ",2001,G,"$115,000,000.00","$289,907,418.00",Pete Docter,8.1
239,The Wolverine ,2013,PG-13,"$120,000,000.00","$132,550,960.00",James Mangold,6.7
240,Star Wars: Episode I - The Phantom Menace ,1999,PG,"$115,000,000.00","$474,544,677.00",George Lucas,6.5
241,The Croods ,2013,PG,"$135,000,000.00","$187,165,546.00",Kirk De Micco,7.3
243,Windtalkers ,2002,R,"$115,000,000.00","$40,911,830.00",John Woo,6.0
244,The Huntsman: Winter's War ,2016,PG-13,"$115,000,000.00","$47,952,020.00",Cedric Nicolas-Troyan,6.1
245,Teenage Mutant Ninja Turtles ,2014,PG-13,"$125,000,000.00","$190,871,240.00",Jonathan Liebesman,5.9
247,Dante's Peak ,1997,PG-13,"$116,000,000.00","$67,155,742.00",Roger Donaldson,5.8
248,Teenage Mutant Ninja Turtles: Out of the Shadows ,2016,PG-13,"$135,000,000.00","$81,638,674.00",Dave Green,6.3
249,Fantastic Four ,2015,PG-13,"$120,000,000.00","$56,114,221.00",Josh Trank,4.3
250,Night at the Museum ,2006,PG,"$110,000,000.00","$250,863,268.00",Shawn Levy,6.4
251,San Andreas ,2015,PG-13,"$110,000,000.00","$155,181,732.00",Brad Peyton,6.1
253,The Patriot ,2000,R,"$110,000,000.00","$113,330,342.00",Roland Emmerich,7.1
254,Ocean's Twelve ,2004,PG-13,"$110,000,000.00","$125,531,634.00",Steven Soderbergh,6.4
255,Mr. & Mrs. Smith ,2005,PG-13,"$120,000,000.00","$186,336,103.00",Doug Liman,6.5
256,Insurgent ,2015,PG-13,"$110,000,000.00","$129,995,817.00",Robert Schwentke,6.3
257,The Aviator ,2004,PG-13,"$110,000,000.00","$102,608,827.00",Martin Scorsese,7.5
258,Gulliver's Travels ,2010,PG,"$112,000,000.00","$42,776,259.00",Rob Letterman,4.9
259,The Green Hornet ,2011,PG-13,"$120,000,000.00","$98,780,042.00",Michel Gondry,5.8
261,300: Rise of an Empire ,2014,R,"$110,000,000.00","$106,369,117.00",Noam Murro,6.2
262,The Smurfs ,2011,PG,"$110,000,000.00","$142,614,158.00",Raja Gosnell,5.5
263,Home on the Range ,2004,PG,"$110,000,000.00","$50,026,353.00",Will Finn,5.4
264,Allegiant ,2016,PG-13,"$110,000,000.00","$66,002,193.00",Robert Schwentke,5.8
265,Real Steel ,2011,PG-13,"$110,000,000.00","$85,463,309.00",Shawn Levy,7.1
266,The Smurfs 2 ,2013,PG,"$105,000,000.00","$71,017,784.00",Raja Gosnell,5.4
267,Speed 2: Cruise Control ,1997,PG-13,"$160,000,000.00","$48,068,396.00",Jan de Bont,3.7
268,Ender's Game ,2013,PG-13,"$110,000,000.00","$61,656,849.00",Gavin Hood,6.7
269,Live Free or Die Hard ,2007,PG-13,"$110,000,000.00","$134,520,804.00",Len Wiseman,7.2
271,Around the World in 80 Days ,2004,PG,"$110,000,000.00","$24,004,159.00",Frank Coraci,5.8
272,Ali ,2001,R,"$107,000,000.00","$58,183,966.00",Michael Mann,6.8
273,The Cat in the Hat ,2003,PG,"$109,000,000.00","$100,446,895.00",Bo Welch,3.8
274,"I, Robot ",2004,PG-13,"$120,000,000.00","$144,795,350.00",Alex Proyas,7.1
275,Kingdom of Heaven ,2005,R,"$130,000,000.00","$47,396,698.00",Ridley Scott,7.2
277,The Princess and the Frog ,2009,G,"$105,000,000.00","$104,374,107.00",Ron Clements,7.1
278,The Martian ,2015,PG-13,"$108,000,000.00","$228,430,993.00",Ridley Scott,8.1
280,The Island ,2005,PG-13,"$126,000,000.00","$35,799,026.00",Michael Bay,6.9
282,Gone in Sixty Seconds ,2000,PG-13,"$90,000,000.00","$101,643,008.00",Dominic Sena,6.5
283,Gladiator ,2000,R,"$103,000,000.00","$187,670,866.00",Ridley Scott,8.5
284,Minority Report ,2002,PG-13,"$102,000,000.00","$132,014,112.00",Steven Spielberg,7.7
287,Planet of the Apes ,2001,PG-13,"$100,000,000.00","$180,011,740.00",Tim Burton,5.7
288,Terminator 2: Judgment Day ,1991,R,"$102,000,000.00","$204,843,350.00",James Cameron,8.5
289,Public Enemies ,2009,R,"$100,000,000.00","$97,030,725.00",Michael Mann,7.0
290,American Gangster ,2007,R,"$100,000,000.00","$130,127,620.00",Ridley Scott,7.8
291,True Lies ,1994,R,"$115,000,000.00","$146,282,411.00",James Cameron,7.2
292,The Taking of Pelham 1 2 3 ,2009,R,"$100,000,000.00","$65,452,312.00",Tony Scott,6.4
293,Little Fockers ,2010,PG-13,"$100,000,000.00","$148,383,780.00",Paul Weitz,5.5
294,The Other Guys ,2010,PG-13,"$100,000,000.00","$119,219,978.00",Adam McKay,6.7
295,Eraser ,1996,R,"$100,000,000.00","$101,228,120.00",Chuck Russell,6.1
296,Django Unchained ,2012,R,"$100,000,000.00","$162,804,648.00",Quentin Tarantino,8.5
297,The Hunchback of Notre Dame ,1996,G,"$100,000,000.00","$100,117,603.00",Gary Trousdale,6.9
298,The Emperor's New Groove ,2000,G,"$100,000,000.00","$89,296,573.00",Mark Dindal,7.3
299,The Expendables 2 ,2012,R,"$92,000,000.00","$85,017,401.00",Simon West,6.7
300,National Treasure ,2004,PG,"$100,000,000.00","$173,005,002.00",Jon Turteltaub,6.9
301,Eragon ,2006,PG,"$100,000,000.00","$75,030,163.00",Stefen Fangmeier,5.1
303,Pan ,2015,PG,"$150,000,000.00","$34,964,818.00",Joe Wright,5.8
304,Epic ,2013,PG,"$100,000,000.00","$107,515,297.00",Chris Wedge,6.7
305,The Tourist ,2010,PG-13,"$100,000,000.00","$67,631,157.00",Florian Henckel von Donnersmarck,6.0
306,End of Days ,1999,R,"$83,000,000.00","$66,862,068.00",Peter Hyams,5.7
308,The Wolf of Wall Street ,2013,R,"$100,000,000.00","$116,866,727.00",Martin Scorsese,8.2
309,Batman Forever ,1995,PG-13,"$100,000,000.00","$184,031,112.00",Joel Schumacher,5.4
310,Starship Troopers ,1997,R,"$105,000,000.00","$54,700,065.00",Paul Verhoeven,7.2
312,Legend of the Guardians: The Owls of Ga'Hoole ,2010,PG,"$80,000,000.00","$55,673,333.00",Zack Snyder,7.0
313,Catwoman ,2004,PG-13,"$100,000,000.00","$40,198,710.00",Pitof,3.3
314,Hercules ,2014,PG-13,"$100,000,000.00","$72,660,029.00",Brett Ratner,6.0
315,Treasure Planet ,2002,PG,"$140,000,000.00","$38,120,554.00",Ron Clements,7.1
316,Land of the Lost ,2009,PG-13,"$100,000,000.00","$49,392,095.00",Brad Silberling,5.4
317,The Expendables 3 ,2014,PG-13,"$90,000,000.00","$39,292,022.00",Patrick Hughes,6.1
318,Point Break ,2015,PG-13,"$105,000,000.00","$28,772,222.00",Ericson Core,5.3
319,Son of the Mask ,2005,PG,"$84,000,000.00","$17,010,646.00",Lawrence Guterman,2.2
